t,xbar_true,observation,filtered_mean,filtered_std,crowding_c_t
0.225,0.10672537931610152,0.1481155302766937,0.12553660740427663,0.021900290600674503,0.022578922872417057
0.23,0.11974219543120294,0.12492866687406762,0.11295930305746288,0.022345256879031827,0.011969363816604739
0.23500000000000001,0.1039806671852499,0.11759314919669764,0.10900879809879208,0.02298581489136683,0.008584351097905563
0.24,0.10129368395532984,0.11916993896250208,0.11028381438556217,0.023137244272666134,0.008886124576939908
0.245,0.08636512164891104,0.07021292643516877,0.07681459764031186,0.02294484073680749,0.0066016712051430865
0.25,0.07953691423711051,0.06465032266767075,0.07208512048096095,0.023144678997228694,0.007434797813290206
0.255,0.09620036562349565,0.11389977818253454,0.10708588782567549,0.023760591611327448,0.006813890356859045
0.26,0.09442138901514431,0.07755607873247168,0.08064831788404433,0.023132904041743726,0.003092239151572654
0.265,0.09392240558039383,0.10300482496759002,0.0993480728461263,0.023630466554235355,0.0036567521214637133
0.27,0.09423512639245632,0.09184340987184868,0.09083077613868602,0.023452481542197225,0.0010126337331626545
0.275,0.12236457591380509,0.09078193513923583,0.08972171758914137,0.023139846649112037,0.0010602175500944583
0.28,0.12281254296092277,0.14809246579534943,0.1347306920567537,0.024044667382306012,0.013361773738595734
0.28500000000000003,0.11482822393987858,0.08146323941694647,0.107492734666763,0.018131078195752996,0.02602949524981653
0.29,0.13446212143820502,0.14042577976299955,0.12189100087676852,0.016639303062038393,0.018534778886231035
0.295,0.1363280025672251,0.13802439150409043,0.12300844265301966,0.018103948106052856,0.01501594885107077
0.3,0.14889365822347692,0.18062837514493657,0.14640672472144473,0.016760519290315027,0.034221650423491845
0.305,0.19295983570731923,0.16520606541453772,0.15457082085467183,0.01661856760090881,0.010635244559865892
0.31,0.17522412374344698,0.16190175582117855,0.15377606833640076,0.017988162585588722,0.008125687484777794
0.315,0.14525769684014603,0.14282355533428379,0.14292996715832573,0.018497320047371753,0.00010641182404194649
0.32,0.16399537696596989,0.1683378570560135,0.15856787614039458,0.019546417760701276,0.009769980915618925
0.325,0.15630491382746806,0.17693981856805088,0.16500572441363703,0.019488601559563692,0.011934094154413849
0.33,0.13819742112203812,0.14551214595166423,0.1434160188107779,0.01964996591409825,0.0020961271408863336
0.335,0.14328219990020863,0.14386066298048442,0.142066569217791,0.019475837514203606,0.001794093762693405
0.34,0.1529903753911331,0.17667046506217282,0.16718399792702882,0.020072484983870764,0.009486467135144006
0.34500000000000003,0.1479765989023505,0.19574649674380726,0.18170649471044964,0.016655097827274742,0.014040002033357618
0.35000000000000003,0.15573641333668553,0.1251605184573131,0.13970364272195018,0.017974672565136175,0.01454312426463708
0.355,0.14961017812922128,0.14948187917548222,0.15397088510035842,0.018162588660423484,0.004489005924876194
0.36,0.14467188945596696,0.16145925413268802,0.16087629948317222,0.018691754653791,0.0005829546495157989
0.365,0.16342324146512463,0.16529889965077182,0.16396290923883988,0.018738652010131373,0.0013359904119319421
